RecordID,Age,Gender,City
BGX855,36.0,Male,Berlin
BPR1083,28.0,Female,Berlin
ALW308,35.0,Male,Berlin
BPD1069,26.0,Male,Munich
BVG1228,28.0,Male,Munich
ATA494,39.0,Male,Berlin
BNB1015,39.0,Male,Siegen
BUJ1205,26.0,Male,Berlin
BRM1130,29.0,Male,Berlin
BVL1233,33.0,Female,Munich
BSZ1169,32.0,Male,Berlin
AHX205,30.0,Female,Munich
AAN13,34.0,Male,Berlin
BUK1206,29.0,Male,Berlin
BQX1115,34.0,Male,Munich
BMM1000,39.0,Male,Berlin
ASM480,23.0,Male,Berlin
BHG864,32.0,Female,Berlin
ARB443,24.0,Male,Berlin
ANN351,30.0,Male,Berlin
BLD965,33.0,Male,Berlin
BPJ1075,38.0,Male,Berlin
BVU1242,32.0,Male,Munich
AYT643,27.0,Female,Berlin
BQC1094,32.0,Male,Hamburg
AWV593,30.0,Male,Berlin
BMA988,28.0,Male,Wolfsburg
BDQ770,27.0,Male,Bucharest
AWD575,31.0,Male,Berlin
BGA832,,Male,Hamburg
AQD419,28.0,Female,Berlin
BFS824,24.0,Male,Berlin
BHH865,30.0,Male,Berlin
BHM870,34.0,Male,Berlin
BSS1162,30.0,Female,Hamburg
AFY154,36.0,Female,Erlangen
BUU1216,30.0,Male,Berlin
BKV957,30.0,Male,Bielefeld
AVS564,30.0,Male,Berlin
BCO742,32.0,Female,Berlin
BQL1103,69.0,Male,Stuttgart
AVK556,39.0,Male,Berlin
ABJ35,33.0,Male,Berlin
BJC912,30.0,Female,Jena
ALA286,38.0,Male,Hamburg
AYQ640,49.0,Male,Munich
BKJ945,24.0,Male,Sofia
BVX1245,28.0,Male,Berlin
BHZ883,27.0,Male,Hamburg
BRS1136,34.0,Male,Cologne
AAX23,59.0,Male,Berlin
BBH709,29.0,Male,Düsseldorf
ATZ519,25.0,Male,Berlin
ATG500,26.0,Female,Berlin
BKZ961,,Male,Berlin
BWD1251,26.0,Male,Saarbrücken
BNP1029,35.0,Male,Berlin
ALM298,34.0,Male,Berlin
AQK426,31.0,Female,Frankfurt
BGS850,27.0,Male,Berlin
BDI762,34.0,Male,Hannover
AYH631,25.0,Female,Frankfurt
BFY830,26.0,Male,Berlin
AOO378,30.0,Male,Samara
BAK686,28.0,Male,Frankfurt
BBU722,32.0,Male,Berlin
BWE1252,26.0,Male,Berlin
ATW516,37.0,Male,Munich
BAT695,43.0,Male,Stuttgart
BOE1044,34.0,Male,Hamburg
AQM428,30.0,Female,Berlin
ALR303,34.0,Male,Berlin
ADK88,24.0,Male,Berlin
AOT383,41.0,Male,Berlin
BVR1239,38.0,Male,Munich
BHC860,29.0,Male,Munich
AUB521,30.0,Male,Berlin
AMX335,33.0,Male,Munich
AWM584,28.0,Female,Amsterdam
AVV567,30.0,Male,Berlin
ADF83,38.0,Male,Berlin
BMG994,38.0,Male,Munich
BCT747,34.0,Male,Berlin
BUC1198,36.0,Male,Regensburg
ABX49,31.0,Male,Berlin
ARY466,33.0,Male,Berlin
BKX959,24.0,Male,Berlin
AGZ181,46.0,Male,Berlin
ANH345,29.0,Male,Munich
AMQ328,29.0,Male,Bonn
ADT97,31.0,Female,Munich
AZL661,32.0,Female,Munich
ARK452,40.0,Female,Berlin
AZJ659,37.0,Male,Berlin
AFT149,28.0,Male,Berlin
